id,followers,retweets,likes,user_id,es_quote,es_retweet,rts_comments
1.2810741015415767e+18,285.0,0.0,0.0,7.625428097777009e+17,1.0,0.0,0.0
1.2810991852789105e+18,2207.0,0.0,6.0,100386722.0,1.0,0.0,0.0
1.281294961619673e+18,115.0,0.0,1.0,1.061678198059135e+18,1.0,0.0,0.0
1.281338814049538e+18,381.0,0.0,0.0,84739630.0,1.0,0.0,0.0
3.844029978425803e+18,1669.0,0.0,1.0,1.0504978907180084e+18,3.0,0.0,0.0
1.281352503955796e+18,128.0,0.0,0.0,1.208450784582652e+18,1.0,0.0,0.0
8.971428643060052e+18,1145.0,1.0,1.0,4.5566951939711616e+18,7.0,0.0,0.0
1.2816276035107348e+18,1272.0,0.0,0.0,60341555.0,1.0,0.0,0.0
6.408297756400611e+18,2244.0,0.0,4.0,7.526781570585364e+17,5.0,0.0,0.0
1.2820227263126282e+18,523.0,1.0,4.0,1625986951.0,1.0,0.0,0.0
2.56423153123192e+18,3684.0,0.0,0.0,9.373531929977386e+17,2.0,0.0,0.0
1.538548787402081e+19,6109.0,0.0,3.0,1.8346912494821327e+18,12.0,0.0,0.0
1.282891589820592e+18,19.0,0.0,0.0,1.2669241772038267e+18,1.0,0.0,0.0
5.140680646739083e+18,1339.0,0.0,4.0,7.530676209298463e+17,4.0,0.0,0.0
1.1642513324001928e+21,111379967.0,29400.0,7268.0,2.8951011318315686e+20,0.0,777.0,518.0
